scenario_id,regime,selection_order_within_regime,selection_criterion,level,spatial_step_m,maximum_time_step_s,cell_count,time_steps,unique_time_steps,cell_peclet_number,comparison_rows,active_rows,mae,rmse,r2,maximum_absolute_error,active_rmse,arrival_time_median_absolute_error_s,arrival_positions,missed_arrival_positions,minimum_normalized_concentration,maximum_normalized_concentration,mass_balance_maximum_absolute_residual,mass_balance_maximum_relative_residual,runtime_seconds
A5-CH-0116,retardation_and_decay,1,minimum_peclet_number,medium,5,112.5,240,768,1,0.0125,8820,8395,0.00229552138613,0.00375373168228,0.999063204925,0.0181882888302,0.00384756900231,0,180,0,0,0.996801701961,3.27418214069e-15,4.23528624896e-13,0.00847204199817
A5-CH-0116,retardation_and_decay,1,minimum_peclet_number,fine,2.5,56.25,480,1536,1,0.00625,17640,16787,0.00208565424476,0.00353749686554,0.999168037802,0.0180574184434,0.00362625757917,0,360,0,0,0.998412727939,4.33401144834e-14,3.03253287968e-12,0.0196283330006
A5-CH-0117,retardation_and_decay,2,maximum_peclet_number,coarse,10,225,120,384,1,3.5,4410,417,0.00971889545378,0.0405782804674,0.973347600675,0.290678732482,0.130243675235,0,90,0,0,0.999929435774,4.81017135845e-15,6.93436158555e-14,0.00399508299597
A5-CH-0117,retardation_and_decay,2,maximum_peclet_number,medium,5,112.5,240,768,1,1.75,8820,832,0.00574286646113,0.0270306628084,0.988173274302,0.20452399969,0.0876981141898,0,180,0,0,0.999970770137,2.6211671722e-15,5.74645761701e-14,0.0083383750025
A5-CH-0117,retardation_and_decay,2,maximum_peclet_number,fine,2.5,56.25,480,1536,1,0.875,17640,1666,0.003289974315,0.0169651035014,0.995341300631,0.133840208873,0.0551695553587,0,360,0,0,0.999987416778,1.25973450421e-14,2.8051961116e-13,0.0193749160098
A5-CH-0119,retardation_and_decay,3,maximum_damkohler_number,coarse,10,225,120,384,1,0.4472135955,4410,870,0.00240167045966,0.00805608028577,0.98782700388,0.0770229465174,0.0181353877552,0,90,0,0,0.993552081136,3.95083271654e-16,1.91071198974e-13,0.00380854199466
A5-CH-0119,retardation_and_decay,3,maximum_damkohler_number,medium,5,112.5,240,768,1,0.22360679775,8820,1739,0.00126867178836,0.00434200942405,0.996463917552,0.0426292129576,0.00977822811694,0,180,0,0,0.997396540868,3.17411028017e-15,1.0757047039e-12,0.00829800000065
A5-CH-0119,retardation_and_decay,3,maximum_damkohler_number,fine,2.5,56.25,480,1536,1,0.111803398875,17640,3479,0.000653606070031,0.00226303775839,0.999039445099,0.0225709760909,0.00509574496213,0,360,0,0,0.998826325313,4.72755515291e-15,2.27794708813e-12,0.0185514579935
A5-CH-0110,retardation_and_decay,4,normalized_parameter_space_medoid,coarse,10,225,120,386,7,0.517281755607,4410,971,0.00552913411553,0.0158688342561,0.991483955831,0.0910546553671,0.033815855948,1800,90,0,0,0.999796625461,1.11244563908e-15,2.71212971738e-12,0.00423304201104
A5-CH-0110,retardation_and_decay,4,normalized_parameter_space_medoid,medium,5,112.5,240,770,7,0.258640877804,8820,1942,0.00292591591182,0.00853086449082,0.99753893222,0.0547283335025,0.0181798984796,0,180,0,0,0.999918384025,6.14856473027e-15,1.50942472832e-11,0.00869737500034
A5-CH-0110,retardation_and_decay,4,normalized_parameter_space_medoid,fine,2.5,56.25,480,1538,7,0.129320438902,17640,3877,0.00151337083855,0.00445496235854,0.999328844776,0.031104568989,0.00950252976196,0,360,0,0,0.999963202781,1.60346996098e-14,1.50847175696e-11,0.0202870419889
A5-CH-0086,retardation_only,1,minimum_peclet_number,coarse,10,225,120,384,1,0.025,4410,4201,0.00281454027202,0.00460959936104,0.998596410012,0.0361588647053,0.00472283809631,0,90,0,0,0.99360456881,7.85829734617e-16,1.9644579032e-13,0.00403391598957
A5-CH-0086,retardation_only,1,minimum_peclet_number,medium,5,112.5,240,768,1,0.0125,8820,8398,0.00239297237281,0.00388821285282,0.999001409268,0.0183535253695,0.0039847004978,0,180,0,0,0.996850769378,4.40689151837e-14,6.04741716308e-12,0.00855887500802
A5-CH-0086,retardation_only,1,minimum_peclet_number,fine,2.5,56.25,480,1536,1,0.00625,17640,16793,0.00218377349414,0.00368100584163,0.999105018878,0.0186253531883,0.00377269333626,0,360,0,0,0.998437255509,1.13180298467e-13,2.36282260954e-11,0.0193376670068
A5-CH-0087,retardation_only,2,maximum_peclet_number,coarse,10,225,120,384,1,3.5,4410,417,0.00976219981238,0.0407615875145,0.973306480226,0.29098409741,0.130829864075,0,90,0,0,1,1.16573417586e-15,1.8183711855e-14,0.00370508299966
A5-CH-0087,retardation_only,2,maximum_peclet_number,medium,5,112.5,240,768,1,1.75,8820,832,0.00576876488661,0.027153238598,0.988154618524,0.204732589987,0.0880953936137,0,180,0,0,1,3.99257450018e-15,7.22573421231e-14,0.00845083300374
A5-CH-0087,retardation_only,2,maximum_peclet_number,fine,2.5,56.25,480,1536,1,0.875,17640,1666,0.00330494353224,0.0170422999621,0.99533380678,0.133975186378,0.0554205650943,0,360,0,0,1,9.4091401337e-15,1.66112761623e-13,0.0190912920079
A5-CH-0085,retardation_only,3,maximum_advective_travel_time,coarse,10,225,120,384,1,0.5,4410,2415,0.00449860218792,0.0090301213829,0.996354330741,0.0676600915231,0.0122024340149,1800,90,0,0,0.998309473266,3.00470538478e-16,5.35267808485e-11,0.00401225000678
A5-CH-0085,retardation_only,3,maximum_advective_travel_time,medium,5,112.5,240,768,1,0.25,8820,4841,0.00217759955779,0.00441196609533,0.999129758488,0.0318960655206,0.00595518261775,0,180,0,0,0.999290790582,1.36328428201e-15,6.61081907158e-10,0.00851316700573
A5-CH-0085,retardation_only,3,maximum_advective_travel_time,fine,2.5,56.25,480,1536,1,0.125,17640,9677,0.00106843795398,0.00217550740252,0.999788411063,0.0154317241492,0.0029372259412,0,360,0,0,0.999673682744,4.43742265155e-15,2.72137489802e-09,0.0194522920065
A5-CH-0063,retardation_only,4,normalized_parameter_space_medoid,coarse,10,225,120,386,6,0.585823834037,4410,636,0.00604253628773,0.0197723401873,0.992496392864,0.192861853027,0.0520495609768,0,90,0,0,0.999999906582,3.83026943496e-15,1.28183544901e-13,0.00435920800373
A5-CH-0063,retardation_only,4,normalized_parameter_space_medoid,medium,5,112.5,240,770,6,0.292911917019,8820,1272,0.00327263237699,0.0110412609543,0.997660192605,0.106504104291,0.0290713341463,0,180,0,0,0.999999987401,1.10189635194e-14,2.61772081706e-13,0.00876325000718
A5-CH-0063,retardation_only,4,normalized_parameter_space_medoid,fine,2.5,56.25,480,1538,7,0.146455958509,17640,2543,0.00173015941763,0.00600960320353,0.999306843058,0.0745708713785,0.0158264525056,0,360,0,0,0.999999997003,9.35114615949e-14,5.86548206986e-12,0.0204644159967
