scenario_id,regime,design_component,peclet_number,damkohler_number,rows,active_rows,mae,rmse,r2,active_mae,active_rmse,maximum_absolute_error,integrated_mass_relative_error,arrival_time_absolute_error_s,arrival_positions,missed_arrival_positions,pde_residual_rmse_s_1,initial_condition_maximum_absolute_error,inlet_boundary_maximum_absolute_error
A5-CH-0055,decay_only,boundary_profile,50,0.0282842712475,2499,785,0.00732818705413,0.0228459983874,0.985384638196,0.0218389094246,0.035307922254,0.442782193422,0.0248037256234,1800,50,0,4.40468917761e-05,0,0
A5-CH-0056,decay_only,boundary_profile,2.5,0.0282842712475,2499,2328,0.0197557977304,0.0532347342367,0.872759854956,0.0170699375598,0.0366181292732,0.748761951923,0.00561244034664,1800,50,0,0.000604272122881,0,0
A5-CH-0057,decay_only,boundary_profile,350,0.00404061017821,2499,205,0.0031759203347,0.02219516368,0.992109917325,0.0269002348425,0.0574729964623,0.449046254158,0.0124614214039,1800,50,0,0.000185433363395,0,0
A5-CH-0058,decay_only,boundary_profile,17.5,0.00404061017821,2499,328,0.00415373338501,0.0243830240109,0.989620636179,0.0200806599203,0.0329831445916,0.550847113132,0.00580824996928,1800,50,0,0.000494814779891,0,0
A5-CH-0059,decay_only,boundary_profile,44.72135955,0.1,2499,206,0.0044194758886,0.0288624752959,0.927871482464,0.0383698617132,0.0662841585932,0.614684760571,0.0503253796388,1800,50,0,0.000241941743464,0,0
A5-CH-0060,decay_only,boundary_profile,44.72135955,0.0005,2499,463,0.00276162697204,0.0129410781899,0.998312042715,0.0148418922836,0.0300610437079,0.25201649848,0.00552711195854,0,50,0,0.000244038310636,0,0
A5-CH-0061,retardation_only,latin_hypercube,118.460002019,0,2499,223,0.00214683812685,0.0105876563512,0.997659402105,0.0236649901493,0.0353900781481,0.152269053201,0.0205252786742,1800,50,0,9.69087059496e-05,0,0
A5-CH-0062,retardation_only,latin_hypercube,21.7410026963,0,2499,884,0.00820492722906,0.021969171372,0.987740936934,0.0228234189642,0.0367746497953,0.161881446131,0.0514522441984,1800,50,0,5.65724915634e-05,0,0
A5-CH-0063,retardation_only,latin_hypercube,58.5823834037,0,2499,369,0.00417851078021,0.0168268438494,0.994523965338,0.0274021467835,0.0432215116057,0.238214104675,0.0173146952062,1800,50,0,9.78136205805e-05,0,0
A5-CH-0064,retardation_only,latin_hypercube,42.7109119978,0,2499,205,0.00370703611633,0.0178897453098,0.974432874467,0.0418850953847,0.0601771935721,0.17157631962,0.0783865774359,1800,50,0,0.000116435090072,0,0
